Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.05      9.59     0.01                             resid (real.c:538 @ 405a66)
  0.05      9.59     0.01                             resid (real.c:537 @ 405a71)
  0.05      9.60     0.01                             resid (real.c:530 @ 405aa2)
  0.05      9.60     0.01                             rprj3 (real.c:619 @ 40714c)
  0.05      9.61     0.01                             rprj3 (real.c:620 @ 407153)
  0.05      9.61     0.01                             rprj3 (real.c:615 @ 407179)
  0.05      9.62     0.01                             rprj3 (real.c:615 @ 4071b0)
  0.05      9.62     0.01                             rprj3 (real.c:614 @ 4071b6)
  0.05      9.63     0.01                             vranlc (randdp.c:129 @ 40a72e)
  0.05      9.63     0.01                             zran3 (real.c:977 @ 403570)
  0.00      9.63     0.00   131642     0.00     0.00  randlc (randdp.c:5 @ 40a5e0)
  0.00      9.63     0.00   131072     0.00     0.00  vranlc (randdp.c:72 @ 40a6b0)
  0.00      9.63     0.00      493     0.00     0.00  norm2u3 (real.c:808 @ 4023f0)
  0.00      9.63     0.00      168     0.00     0.00  psinv (real.c:449 @ 405d50)
  0.00      9.63     0.00      147     0.00     0.00  interp (real.c:651 @ 407900)
  0.00      9.63     0.00      147     0.00     0.00  resid (real.c:511 @ 405290)
  0.00      9.63     0.00      147     0.00     0.00  rprj3 (real.c:570 @ 4067d0)
  0.00      9.63     0.00        4     0.00     0.00  wtime_ (wtime.c:8 @ 401800)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.10% of 9.63 seconds

index % time    self  children    called     name
                0.00    0.00       2/131642      zran3 (real.c:927 @ 402db0) [2117]
                0.00    0.00       4/131642      power (real.c:1135 @ 402bb9) [1313]
                0.00    0.00      52/131642      power (real.c:1136 @ 402ba0) [1310]
                0.00    0.00     512/131642      zran3 (real.c:935 @ 402df9) [2124]
                0.00    0.00  131072/131642      zran3 (real.c:946 @ 402ec8) [2135]
[153]    0.0    0.00    0.00  131642         randlc (randdp.c:5 @ 40a5e0) [153]
-----------------------------------------------
                0.00    0.00  131072/131072      zran3 (real.c:943 @ 402ebf) [2133]
[154]    0.0    0.00    0.00  131072         vranlc (randdp.c:72 @ 40a6b0) [154]
-----------------------------------------------
                0.00    0.00       2/493         zran3 (real.c:915 @ 402c7c) [2100]
                0.00    0.00       2/493         zran3 (real.c:916 @ 402c8f) [2103]
                0.00    0.00       2/493         zran3 (real.c:922 @ 402d6e) [2109]
                0.00    0.00       2/493         zran3 (real.c:1086 @ 404729) [2222]
                0.00    0.00     147/493         rprj3 (real.c:627 @ 407562) [1677]
                0.00    0.00     168/493         psinv (real.c:485 @ 40639c) [1389]
