2, slow.c, -O1, 7, 1.7190 sec
2, slow.c, -O1, 8, 1.6782 sec
2, slow.c, -O1, 9, 1.6981 sec
2, slow.c, -O1, 10, 1.9422 sec
2, slow.c, -O1, 11, 2.1839 sec
2, slow.c, -O1, 12, 1.8431 sec
2, slow.c, -O2, 1, 0.5972 sec
2, slow.c, -O2, 2, 1.2426 sec
2, slow.c, -O2, 3, 6.6175 sec
2, slow.c, -O2, 4, 1.8909 sec
2, slow.c, -O2, 5, 1.3279 sec
2, slow.c, -O2, 6, 1.7019 sec
2, slow.c, -O2, 7, 1.7198 sec
2, slow.c, -O2, 8, 1.6897 sec
2, slow.c, -O2, 9, 1.5602 sec
2, slow.c, -O2, 10, 1.9224 sec
2, slow.c, -O2, 11, 2.0130 sec
2, slow.c, -O2, 12, 2.1799 sec
2, slow.c, -O3, 1, 0.6287 sec
2, slow.c, -O3, 2, 1.7623 sec
2, slow.c, -O3, 3, 6.9035 sec
2, slow.c, -O3, 4, 1.9188 sec
2, slow.c, -O3, 5, 1.2908 sec
2, slow.c, -O3, 6, 1.7076 sec
2, slow.c, -O3, 7, 1.7090 sec
2, slow.c, -O3, 8, 1.7496 sec
2, slow.c, -O3, 9, 1.7805 sec
2, slow.c, -O3, 10, 1.9234 sec
2, slow.c, -O3, 11, 1.8173 sec
2, slow.c, -O3, 12, 2.1070 sec
2, slow.c, -Ofast, 1, 0.6027 sec
2, slow.c, -Ofast, 2, 1.5736 sec
2, slow.c, -Ofast, 3, 7.2596 sec
2, slow.c, -Ofast, 4, 1.7884 sec
2, slow.c, -Ofast, 5, 1.1861 sec
2, slow.c, -Ofast, 6, 1.8538 sec
2, slow.c, -Ofast, 7, 1.6947 sec
2, slow.c, -Ofast, 8, 1.9284 sec
2, slow.c, -Ofast, 9, 1.6847 sec
2, slow.c, -Ofast, 10, 1.7707 sec
2, slow.c, -Ofast, 11, 1.8945 sec
2, slow.c, -Ofast, 12, 1.8442 sec
2, slow.c, -Os, 1, 0.5934 sec
2, slow.c, -Os, 2, 1.0693 sec
2, slow.c, -Os, 3, 6.5543 sec
2, slow.c, -Os, 4, 1.6566 sec
2, slow.c, -Os, 5, 1.2668 sec
2, slow.c, -Os, 6, 1.7222 sec
2, slow.c, -Os, 7, 1.8623 sec
2, slow.c, -Os, 8, 1.7681 sec
2, slow.c, -Os, 9, 1.8875 sec
2, slow.c, -Os, 10, 1.8884 sec
2, slow.c, -Os, 11, 1.6643 sec
2, slow.c, -Os, 12, 1.8735 sec
2, fast.c, -O0, 1, 0.1481 sec
2, fast.c, -O0, 2, 0.0721 sec
2, fast.c, -O0, 3, 0.0498 sec
2, fast.c, -O0, 4, 0.0377 sec
2, fast.c, -O0, 5, 0.0347 sec
2, fast.c, -O0, 6, 0.0309 sec
2, fast.c, -O0, 7, 0.0263 sec
2, fast.c, -O0, 8, 0.0246 sec
2, fast.c, -O0, 9, 0.0321 sec
2, fast.c, -O0, 10, 0.0292 sec
2, fast.c, -O0, 11, 0.0306 sec
2, fast.c, -O0, 12, 0.0308 sec
2, fast.c, -O1, 1, 0.0226 sec
2, fast.c, -O1, 2, 0.0109 sec
2, fast.c, -O1, 3, 0.0076 sec
2, fast.c, -O1, 4, 0.0057 sec
2, fast.c, -O1, 5, 0.0067 sec
2, fast.c, -O1, 6, 0.0054 sec
2, fast.c, -O1, 7, 0.0051 sec
2, fast.c, -O1, 8, 0.0055 sec
2, fast.c, -O1, 9, 0.0051 sec
2, fast.c, -O1, 10, 0.0047 sec
2, fast.c, -O1, 11, 0.0045 sec
2, fast.c, -O1, 12, 0.0053 sec
2, fast.c, -O2, 1, 0.0000 sec
2, fast.c, -O2, 2, 0.0001 sec
2, fast.c, -O2, 3, 0.0001 sec
2, fast.c, -O2, 4, 0.0001 sec
2, fast.c, -O2, 5, 0.0001 sec
2, fast.c, -O2, 6, 0.0002 sec
2, fast.c, -O2, 7, 0.0002 sec
2, fast.c, -O2, 8, 0.0002 sec
2, fast.c, -O2, 9, 0.0001 sec
2, fast.c, -O2, 10, 0.0003 sec
2, fast.c, -O2, 11, 0.0003 sec
2, fast.c, -O2, 12, 0.0006 sec
2, fast.c, -O3, 1, 0.0000 sec
2, fast.c, -O3, 2, 0.0001 sec
2, fast.c, -O3, 3, 0.0001 sec
2, fast.c, -O3, 4, 0.0001 sec
2, fast.c, -O3, 5, 0.0001 sec
2, fast.c, -O3, 6, 0.0001 sec
2, fast.c, -O3, 7, 0.0001 sec
2, fast.c, -O3, 8, 0.0001 sec
2, fast.c, -O3, 9, 0.0001 sec
2, fast.c, -O3, 10, 0.0002 sec
2, fast.c, -O3, 11, 0.0002 sec
2, fast.c, -O3, 12, 0.0002 sec
2, fast.c, -Ofast, 1, 0.0000 sec
2, fast.c, -Ofast, 2, 0.0001 sec
2, fast.c, -Ofast, 3, 0.0001 sec
2, fast.c, -Ofast, 4, 0.0001 sec
2, fast.c, -Ofast, 5, 0.0001 sec
2, fast.c, -Ofast, 6, 0.0001 sec
2, fast.c, -Ofast, 7, 0.0001 sec
2, fast.c, -Ofast, 8, 0.0002 sec
2, fast.c, -Ofast, 9, 0.0001 sec
2, fast.c, -Ofast, 10, 0.0002 sec
2, fast.c, -Ofast, 11, 0.0002 sec
2, fast.c, -Ofast, 12, 0.0002 sec
2, fast.c, -Os, 1, 0.0000 sec
2, fast.c, -Os, 2, 0.0001 sec
2, fast.c, -Os, 3, 0.0001 sec
2, fast.c, -Os, 4, 0.0001 sec
2, fast.c, -Os, 5, 0.0001 sec
2, fast.c, -Os, 6, 0.0001 sec
2, fast.c, -Os, 7, 0.0001 sec
2, fast.c, -Os, 8, 0.0002 sec
2, fast.c, -Os, 9, 0.0002 sec
2, fast.c, -Os, 10, 0.0002 sec
2, fast.c, -Os, 11, 0.0003 sec
2, fast.c, -Os, 12, 0.0002 sec
2, medium.c, -O0, 1, 0.1634 sec
2, medium.c, -O0, 2, 0.3465 sec
2, medium.c, -O0, 3, 0.3848 sec
2, medium.c, -O0, 4, 0.4109 sec
2, medium.c, -O0, 5, 0.8909 sec
2, medium.c, -O0, 6, 0.9159 sec
2, medium.c, -O0, 7, 0.9995 sec
2, medium.c, -O0, 8, 0.9184 sec
2, medium.c, -O0, 9, 1.0847 sec
2, medium.c, -O0, 10, 0.9686 sec
2, medium.c, -O0, 11, 1.0621 sec
2, medium.c, -O0, 12, 1.0312 sec
2, medium.c, -O1, 1, 0.1556 sec
2, medium.c, -O1, 2, 0.2695 sec
2, medium.c, -O1, 3, 0.3193 sec
2, medium.c, -O1, 4, 0.3476 sec
